0.0250	0.0022000220	0.0027361520
0.0750	0.0136001360	0.0190239996
0.1250	0.0364003640	0.0509616441
0.1750	0.0704007040	0.0973064519
0.2250	0.1182011820	0.1562761036
0.2750	0.1810018100	0.2256409787
0.3250	0.2524025240	0.3028384459
0.3750	0.3346033460	0.3851022085
0.4250	0.4056040560	0.4695990338
0.4750	0.5024050241	0.5535648830
0.5250	0.6136061361	0.6344326546
0.5750	0.6714067141	0.7099444542
0.6250	0.7628076281	0.7782424364
0.6750	0.8480084801	0.8379337610
0.7250	0.9092090921	0.8881269430
0.7750	0.9630096301	0.9284387460
0.8250	1.0106101061	0.9589726293
0.8750	1.0308103081	0.9802714956
0.9250	1.0240102401	0.9932489787
0.9750	1.0332103321	0.9991046644
1.0250	1.0190101901	0.9992293960
1.0750	1.0142101421	0.9951071236
1.1250	0.9742097421	0.9882196293
1.1750	0.9778097781	0.9799599064
1.2250	0.9408094081	0.9715590604
1.2750	0.9392093921	0.9640304016
1.3250	0.9286092861	0.9581330179
1.3750	0.9154091541	0.9543556473
1.4250	0.9448094481	0.9529202395
1.4750	0.9644096441	0.9538032766
1.5250	0.9518095181	0.9567718361
1.5750	0.9784097841	0.9614305595
1.6250	0.9946099461	0.9672752073
1.6750	1.0030100301	0.9737483358
1.7250	1.0066100661	0.9802928220
1.7750	1.0152101521	0.9863994583
1.8250	1.0018100181	0.9916455740
1.8750	1.0214102141	0.9957225624
1.9250	1.0178101781	0.9984512012
1.9750	1.0148101481	0.9997846829
2.0250	0.9858098581	0.9998002354
2.0750	0.9730097301	0.9986810347
2.1250	0.9798097981	0.9966907493
2.1750	0.9694096941	0.9941434590
2.2250	0.9674096741	0.9913718481
2.2750	0.9552095521	0.9886964907
2.3250	0.9882098821	0.9863987340
2.3750	0.9952099521	0.9846992015
2.4250	1.0104101041	0.9837433117
2.4750	0.9734097341	0.9835945186
2.5250	0.9756097561	0.9842352731
2.5750	0.9742097421	0.9855750491
2.6250	0.9932099321	0.9874642182
2.6750	1.0056100561	0.9897121430
2.7250	1.0376103761	0.9921076019
2.7750	1.0244102441	0.9944395881
2.8250	0.9914099141	0.9965166211
2.8750	0.9948099481	0.9981829613
2.9250	0.9842098421	0.9993304948
2.9750	0.9766097661	0.9999055142
3.0250	1.0024100241	0.9999101202
