0.0250	0.0040004000	0.0027361520
0.0750	0.0080008001	0.0190239996
0.1250	0.0640064006	0.0509616441
0.1750	0.0900090009	0.0973064519
0.2250	0.1520152015	0.1562761036
0.2750	0.2060206021	0.2256409787
0.3250	0.2940294029	0.3028384459
0.3750	0.3440344034	0.3851022085
0.4250	0.5240524052	0.4695990338
0.4750	0.5400540054	0.5535648830
0.5250	0.6400640064	0.6344326546
0.5750	0.7280728073	0.7099444542
0.6250	0.7220722072	0.7782424364
0.6750	0.8660866087	0.8379337610
0.7250	0.9020902090	0.8881269430
0.7750	0.9260926093	0.9284387460
0.8250	0.9300930093	0.9589726293
0.8750	0.9340934093	0.9802714956
0.9250	0.9800980098	0.9932489787
0.9750	1.0041004100	0.9991046644
1.0250	1.0381038104	0.9992293960
1.0750	0.9960996100	0.9951071236
1.1250	0.9800980098	0.9882196293
1.1750	0.9760976098	0.9799599064
1.2250	0.9600960096	0.9715590604
1.2750	0.9980998100	0.9640304016
1.3250	1.0461046105	0.9581330179
1.3750	0.8520852085	0.9543556473
1.4250	0.9220922092	0.9529202395
1.4750	0.9460946095	0.9538032766
1.5250	0.9500950095	0.9567718361
1.5750	0.9460946095	0.9614305595
1.6250	1.0121012101	0.9672752073
1.6750	0.9440944094	0.9737483358
1.7250	0.9600960096	0.9802928220
1.7750	0.9960996100	0.9863994583
1.8250	0.9740974097	0.9916455740
1.8750	1.0761076108	0.9957225624
1.9250	1.0201020102	0.9984512012
1.9750	0.9180918092	0.9997846829
2.0250	1.0581058106	0.9998002354
2.0750	0.9580958096	0.9986810347
2.1250	0.9780978098	0.9966907493
2.1750	0.9780978098	0.9941434590
2.2250	1.0441044104	0.9913718481
2.2750	0.9520952095	0.9886964907
2.3250	0.9760976098	0.9863987340
2.3750	0.9960996100	0.9846992015
2.4250	1.0141014101	0.9837433117
2.4750	0.9180918092	0.9835945186
2.5250	0.9440944094	0.9842352731
2.5750	1.0161016102	0.9855750491
2.6250	0.9720972097	0.9874642182
2.6750	1.0021002100	0.9897121430
2.7250	0.9380938094	0.9921076019
2.7750	1.0521052105	0.9944395881
2.8250	1.0121012101	0.9965166211
2.8750	1.0261026103	0.9981829613
2.9250	0.9780978098	0.9993304948
2.9750	1.0361036104	0.9999055142
3.0250	1.0721072107	0.9999101202
