0.0250	0.0032000000	0.0027361520
0.0750	0.0164000000	0.0190239996
0.1250	0.0526000000	0.0509616441
0.1750	0.0996000000	0.0973064519
0.2250	0.1444000000	0.1562761036
0.2750	0.2226000000	0.2256409787
0.3250	0.2884000000	0.3028384459
0.3750	0.3712000000	0.3851022085
0.4250	0.4474000000	0.4695990338
0.4750	0.5416000000	0.5535648830
0.5250	0.6318000000	0.6344326546
0.5750	0.6856000000	0.7099444542
0.6250	0.7382000000	0.7782424364
0.6750	0.8346000000	0.8379337610
0.7250	0.8720000000	0.8881269430
0.7750	0.9306000000	0.9284387460
0.8250	0.9584000000	0.9589726293
0.8750	0.9792000000	0.9802714956
0.9250	1.0082000000	0.9932489787
0.9750	1.0098000000	0.9991046644
1.0250	1.0006000000	0.9992293960
1.0750	1.0084000000	0.9951071236
1.1250	1.0002000000	0.9882196293
1.1750	0.9710000000	0.9799599064
1.2250	0.9650000000	0.9715590604
1.2750	0.9660000000	0.9640304016
1.3250	0.9448000000	0.9581330179
1.3750	0.9524000000	0.9543556473
1.4250	0.9348000000	0.9529202395
1.4750	0.9386000000	0.9538032766
1.5250	0.9406000000	0.9567718361
1.5750	0.9820000000	0.9614305595
1.6250	0.9868000000	0.9672752073
1.6750	0.9922000000	0.9737483358
1.7250	0.9880000000	0.9802928220
1.7750	0.9706000000	0.9863994583
1.8250	1.0046000000	0.9916455740
1.8750	1.0026000000	0.9957225624
1.9250	1.0032000000	0.9984512012
1.9750	1.0088000000	0.9997846829
2.0250	0.9996000000	0.9998002354
2.0750	0.9928000000	0.9986810347
2.1250	0.9882000000	0.9966907493
2.1750	0.9880000000	0.9941434590
2.2250	0.9874000000	0.9913718481
2.2750	0.9802000000	0.9886964907
2.3250	0.9840000000	0.9863987340
2.3750	0.9936000000	0.9846992015
2.4250	0.9742000000	0.9837433117
2.4750	0.9856000000	0.9835945186
2.5250	0.9690000000	0.9842352731
2.5750	0.9840000000	0.9855750491
2.6250	0.9956000000	0.9874642182
2.6750	1.0096000000	0.9897121430
2.7250	0.9916000000	0.9921076019
2.7750	1.0278000000	0.9944395881
2.8250	1.0178000000	0.9965166211
2.8750	0.9966000000	0.9981829613
2.9250	0.9980000000	0.9993304948
2.9750	1.0202000000	0.9999055142
3.0250	0.9936000000	0.9999101202
